date,protocol,name,category,active_loans,revenue_ttm,revenue_annualized,earnings_ttm,earnings_annualized,active_loans_90d_ago,revenue_90d_ago,earnings_90d_ago
2026-08-29,jewelswap-nft-lending,JewelSwap NFT Lending,NFT Lending,20.243962689501636,,,,,18,,
2026-08-29,jiblend,JIBLEND,Lending,9201.754942105828,,,,,9188,,
2026-08-29,joe-lend,Joe Lend,Lending,0,25366,25366,3330,3330,0,38126,5040
2026-08-29,jolt,Jolt,Lending,15.862503528254406,,,,,15,,
2026-08-29,joltify-lend,Joltify Lend,Lending,0,,,,,0,,
2026-08-29,joltify-rwa,Joltify RWA,RWA Lending,0,,,,,0,,
2026-08-29,joule-finance,Joule Finance,Lending,45076.582936458246,,,,,309155,,
2026-08-29,jpegd,JPEG'd,NFT Lending,0,,,,,,,
2026-08-29,jupiter-lend,Jupiter Lend,Lending,937844685.9959937,32145671,32145671,1690808,1690808,915953349,27806520.334448162,1491294.7826086958
2026-08-29,jupiter-offerbook,Jupiter Offerbook,Lending,418147.0449434925,13651,39233.188976377955,5976,17175.11811023622,,9571.111111111111,4227.916666666667
2026-08-29,juris-protocol,Juris Protocol,Lending,25.107677075745702,,,,,13,,
2026-08-29,justlend-v1,JustLend V1,Lending,192609004.81014496,11912694,11912694,516065,516065,150782873,8163300,513461
2026-08-29,justlend-v2,JustLend V2,Lending,473984.07044648036,,,,,,,
2026-08-29,k613,K613,Lending,932.1670261458693,,,,,58174,,
2026-08-29,kamino-lend,Kamino Lend,Lending,1001725050.8661599,69225642,69225642,10046317,10046317,1086464173,85461964,13426669
2026-08-29,karura-dollar-(kusd),Karura Dollar (kUSD),Lending,0,,,,,,,
2026-08-29,kaskad,Kaskad,Lending,132434.10598090544,13400,49908.163265306124,1319.43,4964.865463917526,536091,12827.142857142859,1251.4285714285716
2026-08-29,kasu,Kasu,RWA Lending,0,803354,805561.0164835165,80793,81014.95879120879,,643334,64809
2026-08-29,kava-lend,Kava Lend,Lending,184127.2566207392,,,,,314458,,
2026-08-29,kawa-finance,Kawa Finance,Lending,4.4156114186097195,,,,,6,,
2026-08-29,keom-protocol,Keom Protocol,Lending,32699.82826210406,,13747.146341463415,,2809.1646341463415,61923,0,0
2026-08-29,kilolend,KiloLend,Lending,267.6123481463209,,,,,167,,
2026-08-29,kinetic,Kinetic,Lending,12265213.979218297,1278624,1368615.1319648093,213879,228932.06744868038,13835263,1453834.42,244993.84
2026-08-29,kinza-finance,Kinza Finance,Lending,1350398.1231743433,201849,201849,28476.459999999995,28476.459999999995,1862510,226691,32274
2026-08-29,klap,Klap,Lending,0,,,,,0,,
2026-08-29,klaybank,KlayBank,Lending,167165.8245447203,,,,,148511,,
2026-08-29,klend,KLend,Lending,0,,,,,0,,
2026-08-29,knightswap-lending,KnightSwap Lending,Lending,0,,,,,154029,,
2026-08-29,kokomo-finance,Kokomo Finance,Lending,1006.0680000000001,,,,,1006,,
2026-08-29,kona-lend,Kona Lend,Lending,237847.9890828078,,,,,460581,,
2026-08-29,kyros-finance,Kyros Finance,Lending,58.67118696587865,,,,,,,
2026-08-29,l2finance,L2FINANCE,Lending,6.9397551571448615,,,,,6,,
2026-08-29,lander,Lander,Lending,9028.25851579678,,,,,7894,,
2026-08-29,larix,Larix,Lending,0,,,,,0,,
2026-08-29,lava,Lava,Lending,0,168711,168711,33742,33742,0,1968233,217636
2026-08-29,layerbank,LayerBank,Lending,952446.0820370133,,,,,9647896,,
2026-08-29,leaper-finance,Leaper Finance,Lending,241048.6876533513,,,,,241048,,
2026-08-29,lendao,Lendao,Lending,0,,,,,,,
2026-08-29,lendexe-finance,LendeXe Finance,Lending,9560.621066005153,,,,,8617,,
2026-08-29,lendflare,LendFlare,Lending,0,,,,,,,
2026-08-29,lendhub,LendHub,Lending,0,,,,,0,,
2026-08-29,lending-pond,Lending Pond,Lending,0,,,,,,,
2026-08-29,lendle-isolated-markets,Lendle Isolated Markets,Lending,30.94996162033637,,,,,25,,
2026-08-29,lendle-pooled-markets,Lendle Pooled Markets,Lending,90640.84824817894,108409,108409,23090,23090,270809,100300,24973
2026-08-29,lendlord,LendLord,Lending,127.3672116431236,,,,,124,,
2026-08-29,lendora-protocol,Lendora Protocol,Lending,0,,,,,0,,
2026-08-29,lendos,lendOS,Lending,202.51039150816308,,,,,1670,,
2026-08-29,lenen,Lenen,Lending,0,,,,,0,,
2026-08-29,lenfi,Lenfi,Lending,0,,,,,,,
2026-08-29,levvy-for-nfts,Levvy for NFTs,NFT Lending,957.0486973853161,8764,96935.1515151515,3962,43822.121212121216,1304,104235.69105691057,45156.13821138211
2026-08-29,levvy-for-tokens,Levvy for Tokens,Lending,10359.438423600133,28005,309752.2727272727,9425,104246.21212121213,14173,500860.1219512195,168377.76422764227
2026-08-29,lila-finance,Lila Finance,Lending,0,,,,,,,
2026-08-29,linx-app,Linx App,Lending,21482.16811051349,,,,,50129,,
2026-08-29,liqee,Liqee,Lending,8.252761019215354,,,,,8,,
2026-08-29,liquidium,Liquidium,Lending,1730170.6366596587,8279.320000000002,16513.397814207656,1098.59,4773.635119047619,198289,1159.5494565217396,0
2026-08-29,liquidops,LiquidOps,Lending,25809.161135847557,85612,651007.9166666666,8559,65084.0625,25809,397395.90551181097,39733.26771653543
2026-08-29,liqwid,Liqwid,Lending,5271710.835359593,1120862,1697571.0788381742,182446,276318.6307053942,7198459,1988106.3333333333,351801.6
2026-08-29,lista-lending,Lista Lending,Lending,70003630.18639846,9768826,9768826,340804,340804,212404434,11564179,24603
2026-08-29,llamalend,Llamalend,NFT Lending,4640.82430406507,28775.729999999996,28775.729999999996,0,0,3792,46926,0
2026-08-29,lnd,LND,Lending,0,,,,,0,,
2026-08-29,loanshark-core,Loanshark Core,Lending,7530.772787988542,,,,,7696,,
2026-08-29,lodestar-v0,Lodestar V0,Lending,1493.855810920683,,,,,1478,,
2026-08-29,lodestar-v1,Lodestar V1,Lending,3375.1146684075643,,,,,4219,,
2026-08-29,loopscale,Loopscale,Lending,55045824.77589445,1060162,3279314.661016949,0,0,55533164,3458037.0370370373,0
2026-08-29,lore-finance,Lore Finance,Lending,192990.14283034543,,,,,78764,,
2026-08-29,lucky-peaches,Lucky Peaches,Lending,30802.43814216382,,,,,30044,,
2026-08-29,lumen-money,Lumen Money,Lending,129.50854043049657,,,,,9806,,
2026-08-29,lumin-finance,Lumin Finance,Lending,0,,,,,0,,
2026-08-29,machfi,MachFi,Lending,28286.135295439217,28074.04,28074.04,21696.04,21696.04,28264,43259,24419
2026-08-29,mage-finance,Mage Finance,Lending,360.8774926731371,,,,,414,,
2026-08-29,magnate-finance,Magnate Finance,Lending,0,,,,,0,,
2026-08-29,magnify-cash,Magnify Cash,Lending,9169.152228675872,,,,,9166,,
2026-08-29,magpie-capital,Magpie Capital,Lending,0,,,,,,,
2026-08-29,magsinio,Magsinio,Lending,0.5396213178215445,,,,,0,,
2026-08-29,mahalend,MahaLend,Lending,61754.39874101439,,,,,32274,,
2026-08-29,mantra-dao,MANTRA DAO,Lending,0,,,,,0,,
2026-08-29,mantra-protocol,Mantra Protocol,NFT Lending,0,,,,,,,
2026-08-29,maple,Maple,Lending,1846709589.0677114,110722490.05,110722490.05,14422671.01,14422671.01,1831691228,102816145.45,15190400.45
2026-08-29,mare-finance-v1,Mare Finance V1,Lending,0,,,,,0,,
2026-08-29,mare-finance-v2,Mare Finance V2,Lending,0,,,,,0,,
2026-08-29,marginfi-lending,marginfi Lending,Lending,0,,965425,,33215,,,
2026-08-29,marinus,Marinus,Lending,0,,,,,,,
2026-08-29,market,Market,Lending,8755.626472328177,,,,,8755,,
2026-08-29,mars-lend,Mars Lend,Lending,0,,,,,,,
2026-08-29,meld,Meld,Lending,0,,,,,,,
2026-08-29,mendi-finance,Mendi Finance,Lending,281972.71551363106,44657,44657,6773.339999999997,6773.339999999997,302658,79250,11681
2026-08-29,mensa-protocol,Mensa Protocol,Lending,0,,,,,,,
2026-08-29,meow-protocol,Meow Protocol,Lending,3347.396271781355,,,,,3347,,
2026-08-29,merchant-finance,Merchant Finance,Lending,0,,,,,0,,
2026-08-29,meridian-lend,Meridian Lend,Lending,17084.33804889639,,,,,14994,,
2026-08-29,mesher,Mesher,Lending,37733.08091406137,,,,,1543648,,
2026-08-29,meso-finance,Meso Finance,Lending,33268.46267403238,101593.46,111691.60512048194,85506.76999999999,94005.93689759035,43131,250123,132805
2026-08-29,metalend,MetaLend,Lending,3765.640871863341,,,,,4528,,
2026-08-29,metalx-lending,MetalX Lending,Lending,12663632.529992891,,,,,12511496,,
2026-08-29,metapoly,Metapoly,Lending,0,,,,,0,,
2026-08-29,methlab,MethLab,Lending,0,,,,,,,
2026-08-29,micro-credit-project,Micro Credit Project,Uncollateralized Lending,0,,,,,,,
2026-08-29,midas-capital,Midas Capital,Lending,57465.25126495298,,,,,27248,,
2026-08-29,milk-finance,Milk Finance,Lending,89651.85303000314,,,,,254278,,
2026-08-29,milkyway-protocol-milkomeda,MilkyWay Protocol Milkomeda,Lending,0,,,,,0,,
2026-08-29,mimas-finance,Mimas Finance,Lending,0,,,,,0,,
2026-08-29,minterest,Minterest,Lending,20386.988232570184,,,,,20272,,
2026-08-29,mmo-finance,MMO Finance,NFT Lending,12136.804994507744,,,,,9932,,
2026-08-29,mochifi,MochiFi,Lending,0,,,,,,,
2026-08-29,molend,Molend,Lending,14828.395946278604,,,,,9626,,
2026-08-29,monolend,MonoLend,Lending,128.06887402946936,,,,,125,,
2026-08-29,moola-market,Moola Market,Lending,158775.8988468638,,,,,52329,,
2026-08-29,mooncake-finance,Mooncake Finance,Lending,1206.6912360476103,,,,,1138,,
2026-08-29,moono-protocol,Moono Protocol,Lending,54075.66470728967,,,,,,,
2026-08-29,moonwell-apollo,Moonwell Apollo,Lending,0,40166,69812.33333333334,14060,24437.619047619046,93288,38098.257575757576,13337.708333333334
2026-08-29,moonwell-lending,Moonwell Lending,Lending,34686686.59737012,7238446,7238446,1693348,1693348,32166242,9440717,2077174
2026-08-29,more-markets,MORE Markets,Lending,3770162.168548327,447875,447875,57029.99,57029.99,3819808,468050,62214
2026-08-29,moremoney,Moremoney,Lending,0,,,,,,,
2026-08-29,morpho-blue,Morpho Blue,Lending,4804409512.998578,208768137,208768137,0,0,3856217175,195823181,0
2026-08-29,morpho-midnight,Morpho Midnight,Lending,2392057.626362409,9300.419999999998,72226.66595744679,0,0,,,
